"STATION","NAME","LATITUDE","LONGITUDE"
"USS0022F04S","SALT CREEK FALLS, OR US","43.61","-122.12"
"USS0021E05S","SANTIAM JCT., OR US","44.44","-121.95"
"USW00004201","SCAPPOOSE INDUSTRIAL AIRPORT, OR US","45.77278","-122.86111"
"USS0017D08S","SCHNEIDER MEADOWS, OR US","45.0","-117.17"
"USS0023D02S","SEINE CREEK, OR US","45.53","-123.3"
"USR0000OSEL","SELDOM CREEK OREGON, OR US","42.4075","-122.1914"
"USS0022G33S","SEVENMILE MARSH, OR US","42.7","-122.14"
"USW00024235","SEXTON SUMMIT, OR US","42.6003","-123.3641"
"USR0000OSIG","SIGNAL TREE OREGON, OR US","43.0019","-123.7803"
"USR0000OSIL","SILVER BUTTE OREGON, OR US","42.8589","-123.3783"
"USC00357823","SILVERTON, OR US","45.0058","-122.7739"
"USS0018G01S","SILVIES, OR US","42.75","-118.69"
"USS0019F01S","SNOW MOUNTAIN, OR US","43.95","-119.54"
"USS0022D03S","SOUTH FORK BULL RUN, OR US","45.45","-122.03"
"USR0000OSFK","SOUTH FORK OREGON, OR US","45.5906","-123.4761"
"USR0000OSPA","SPARTA BUTTE OREGON, OR US","44.9083","-117.375"
"USR0000OSQU","SQUAW PEAK OREGON, OR US","42.0667","-123.0167"
"USS0019E07S","STARR RIDGE, OR US","44.26","-119.02"
"USR0000OSTR","STRAWBERRY OREGON, OR US","42.1894","-120.8464"
"USS0020G09S","STRAWBERRY, OR US","42.13","-120.84"
"USR0000OSUG","SUGARLOAF OREGON, OR US","43.6728","-122.6564"
"USS0020G02S","SUMMER RIM, OR US","42.7","-120.8"
"USS0022F14S","SUMMIT LAKE, OR US","43.45","-122.14"
"USR0000OSUM","SUMMIT OREGON, OR US","42.2322","-120.2456"
"USS0021G17S","SUN PASS, OR US","42.79","-121.98"
"USS0021G03S","TAYLOR BUTTE, OR US","42.69","-121.43"
"USS0017D07S","TAYLOR GREEN, OR US","45.08","-117.55"
"USS0021E13S","THREE CREEKS MEADOW, OR US","44.14","-121.64"
"USR0000OTIL","TILLAMOOK OREGON, OR US","45.4569","-123.8031"
"USR0000OTIM","TIMOTHY OREGON, OR US","43.2433","-121.3583"
"USS0018E09S","TIPTON, OR US","44.66","-118.43"
"USS0022F45S","TOKETEE AIRSTRIP, OR US","43.23","-122.43"
"USC00358536","TOKETEE FALLS, OR US","43.275","-122.4497"
"USR0000OTOK","TOKETEE OREGON, OR US","43.2397","-122.4"
"USR0000OTUM","TUMALO RIDGE OREGON, OR US","44.0494","-121.4003"
"USR0000OTUP","TUPPER OREGON, OR US","45.0708","-119.49"
"USR0000OUMA","UMATILLA NWR OREGON, OR US","45.9167","-119.5667"
"USC00358884","VERNONIA NUMBER 2, OR US","45.8652","-123.1902"
"USR0000OVIL","VILLAGE CREEK OREGON, OR US","44.2525","-123.4639"
"USR0000OWAG","WAGONTIRE OREGON, OR US","43.34","-119.8814"
"USR0000OWAM","WAMIC MILL OREGON, OR US","45.2406","-121.453"
"USR0000OWAS","WASCO BUTTE OREGON, OR US","45.61","-121.33"
"USR0000OWIL","WILKINSON RIDGE OREGON, OR US","44.3325","-123.7164"
"USC00359461","WINCHESTER, OR US","43.2827","-123.3536"
"USS0018D21S","WOLF CREEK, OR US","45.07","-118.15"
"USC00359588","YACHATS, OR US","44.33","-124.0981"
"USR0000OYEL","YELLOWSTONE MOUNTAIN OREGON, OR US","44.5922","-122.4278"
